,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Beta3[14],0.007,1.085,-2.024,2.035,0.008,0.006,19190,19190,19192,19287,
Beta3[15],0.013,1.08,-1.958,2.099,0.008,0.005,19836,19742,19833,18329,
Beta3[16],0.005,1.082,-1.962,2.086,0.008,0.005,20082,20082,20080,19516,
Beta3[17],-0.017,1.098,-2.138,1.999,0.008,0.006,19650,19650,19641,19683,
Beta3[18],-0.019,1.075,-2.051,1.993,0.008,0.005,19477,19477,19428,19675,
Beta3[19],0.03,1.101,-2.015,2.089,0.008,0.006,19439,19439,19444,19200,
Beta3[20],0.01,1.104,-2.016,2.13,0.008,0.006,19868,19868,19870,19632,
Beta3[21],-0.379,0.626,-1.523,0.821,0.004,0.003,19602,19602,19608,19584,
Beta3[22],-0.001,1.096,-2.095,2.028,0.008,0.005,20252,20252,20252,20454,
Beta3[23],-0.038,0.635,-1.211,1.171,0.005,0.003,19657,19657,19633,19885,
Beta3[24],-0.002,1.087,-2.036,2.036,0.008,0.006,19153,19153,19152,19754,
Beta3[25],-0.004,1.081,-2.048,2.014,0.008,0.005,19903,19903,19896,19003,
Beta3[26],-0.122,0.695,-1.433,1.186,0.005,0.003,19732,19732,19731,19311,
Beta3[27],-0.002,1.066,-1.972,1.991,0.008,0.005,19612,19254,19618,19131,
Beta3[28],-0.006,1.059,-2.06,1.942,0.008,0.005,19763,19763,19766,19180,
Beta3[29],-0.002,1.068,-2.022,1.978,0.008,0.005,19978,19978,19977,19127,
Beta3[30],-0.005,1.064,-2.014,1.998,0.008,0.005,19680,19680,19681,19550,
Beta3[31],-0.024,1.077,-2.059,1.946,0.008,0.005,19499,19266,19516,19994,
Beta3[32],0.078,0.791,-1.369,1.613,0.006,0.004,20100,20100,20103,20046,
Beta3[33],-0.002,1.064,-2.009,2.001,0.008,0.005,19545,19545,19550,19383,
Beta3[34],-0.363,0.725,-1.733,0.98,0.005,0.004,19809,19809,19810,19433,
Beta3[35],-1.033,0.706,-2.341,0.306,0.005,0.004,20184,19829,20183,18779,
Beta3[36],0.015,1.077,-1.96,2.095,0.008,0.005,20126,19701,20128,19971,
Beta3[37],0.013,1.102,-2.045,2.07,0.008,0.006,19661,19661,19664,20087,
Beta3[38],0.008,1.093,-2.007,2.114,0.008,0.006,18533,18533,18525,19600,
Beta3[39],-0.016,1.083,-1.97,2.086,0.008,0.005,19950,19950,19958,19671,
Beta4[0],-0.406,0.794,-1.945,1.048,0.006,0.004,19616,19524,19621,19919,
Beta4[1],-0.982,0.62,-2.181,0.146,0.004,0.003,20281,19913,20281,19264,
Beta4[2],-1.268,0.528,-2.253,-0.272,0.004,0.003,19643,19643,19645,20000,
Beta4[3],-1.007,0.358,-1.686,-0.346,0.003,0.002,20132,20132,20139,20002,
Beta4[4],-0.123,0.457,-0.995,0.724,0.003,0.002,20199,19640,20206,18971,
Beta4[5],-0.402,0.777,-1.844,1.091,0.005,0.004,20103,19416,20103,20046,
Beta4[6],-1.037,0.535,-2.025,-0.023,0.004,0.003,19812,19812,19813,19755,
Beta4[7],-0.419,0.794,-1.928,1.045,0.006,0.004,19832,19832,19832,19837,
Beta4[8],-0.773,0.424,-1.559,0.039,0.003,0.002,20052,20052,20051,19576,
Beta4[9],-0.59,0.432,-1.39,0.23,0.003,0.002,19818,19818,19816,19837,
Beta4[10],-0.665,0.345,-1.295,0.002,0.002,0.002,20266,20266,20272,19851,
Beta4[11],-0.499,0.282,-1.011,0.047,0.002,0.001,20186,20060,20193,20418,
Beta4[12],-0.643,0.285,-1.187,-0.121,0.002,0.001,19992,19992,19999,19067,
Beta4[13],-0.925,0.241,-1.361,-0.458,0.002,0.001,19505,19446,19502,19673,
Beta4[14],-0.587,0.307,-1.178,-0.024,0.002,0.002,18831,18819,18836,19385,
Beta4[15],-0.516,0.289,-1.057,0.027,0.002,0.001,19102,19102,19117,18010,
Beta4[16],-0.665,0.292,-1.218,-0.12,0.002,0.001,20414,20311,20422,19558,
Beta4[17],-0.747,0.292,-1.277,-0.191,0.002,0.001,19235,19235,19231,19317,
